ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
F3_S19_contig_183_3	390	12	portal protein	head and packaging	12	98	0.231	7.099e-22	p213127 VI_06558	12	144.703217	1.0340584394800084e-41	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_4	230	94	head maturation protease	head and packaging	94	128	0.425	4.9650000000000005e-34	p350580 VI_04431	94	166.878067	2.7277926680514413e-48	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_5	492	10	major head protein	head and packaging	10	71	0.274	1.658e-13	p205037 VI_04338	10	211.289581	7.694595977967352e-62	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_6	108	749	hypothetical protein	unknown function	749	75	0.431	1.253e-17	p287698 VI_05063	749	70.690193	1.8814592278024493e-19	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_7	127	19734	hypothetical protein	unknown function	19734	130	0.632	2.4120000000000002e-36	p243705 VI_01182	19734	130.638687	6.894722889095949e-38	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_8	112	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_9	154	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_10	206	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_11	125	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_12	57	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_13	834	991	tail length tape measure protein	tail	991	126	0.18	9.091e-30	p290120 VI_00584	991	249.621796	1.1440317193271857e-73	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_14	238	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_15	616	1067	minor head protein	head and packaging	1067	300	0.385	2.49e-84	p334283 VI_04420	1067	394.168243	3.516784118614078e-117	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_16	256	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_1	65	2776	hypothetical protein	unknown function	2776	44	0.513	5.27e-06	p282559 VI_00606	2776	43.131401	7.152616263236325e-11	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_2	136	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_3	422	1075	tRNA splicing ligase	DNA, RNA and nucleotide metabolism	1075	245	0.37	1.327e-70	KY940711_p200	1075	400.090973	3.0832962151487317e-119	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_4	70	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_5	92	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_6	77	111	DNA methyltransferase	other	111	62	0.514	5.754e-12	p64666 VI_08735	111	54.589012	2.7682904890272565e-14	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_7	79	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_8	306	9298	radical SAM domain protein	other	9298	439	0.753	2.413e-140	p174980 VI_06119	9298	423.270416	1.1224932573476547e-126	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_9	116	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_10	40	12607	nucleoside deoxyribosyltransferase	DNA, RNA and nucleotide metabolism	12607	52	0.74	3.96e-09	p174928 VI_01020	12607	33.069416	1.1079433254927991e-07	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_11	114	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_12	48	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_13	72	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_14	151	1048	hypothetical protein	unknown function	1048	88	0.439	2.222e-21	KU886225_p279	1048	104.687881	1.3036087083175153e-29	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_15	281	424	phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover	424	108	0.28	1.6470000000000002e-25	p148349 VI_01200	424	180.768585	9.54255831581961e-53	#ff59f5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_16	85	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_17	139	625	hypothetical protein	unknown function	625	61	0.304	5.717e-13	p80773 VI_01348	625	67.033409	2.623284503014829e-18	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_18	60	15937	hypothetical protein	unknown function	15937	78	0.671	2.402e-19	p30564 VI_05486	15937	83.743477	1.3645634520609065e-23	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_19	195	11581	hypothetical protein	unknown function	11581	146	0.474	1.47e-40	p39261 VI_01014	11581	161.363815	5.294836477565354e-47	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_20	237	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_21	140	35728	hypothetical protein	unknown function	35728	100	0.433	1.271e-24	p234008 VI_05492	35728	105.852577	4.251865281459056e-30	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_22	140	19415	hypothetical protein	unknown function	19415	51	0.403	6.692e-08	NC_021803_p6	19415	60.125866	5.8764211857788e-16	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_23	365	116	DNA methyltransferase	other	116	148	0.432	5.511e-40	p321505 VI_05690	116	239.807495	1.1898489561389484e-70	#838383	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_24	139	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_25	53	2340	endonuclease	DNA, RNA and nucleotide metabolism	2340	48	0.558	2.264e-07	MH107769_p146	1035	41.790024	2.2999202374508437e-10	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_26	152	1770	Holliday junction resolvase	DNA, RNA and nucleotide metabolism	1770	65	0.364	3.038e-13	MG711467_p21	1770	94.860977	9.891379451949795e-27	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_27	70	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_28	270	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_29	248	11501	hypothetical protein	unknown function	11501	246	0.581	3.715e-74	p49770 VI_01012	11501	259.975037	3.567965827010011e-77	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_30	93	379	DNA binding protein	DNA, RNA and nucleotide metabolism	379	67	0.388	1.345e-14	KY554777_p175	379	84.823769	7.56207020005742e-24	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_31	143	12688	hypothetical protein	unknown function	12688	147	0.542	9.787e-42	p49769 VI_01012	12688	156.863266	5.645423970241008e-46	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_32	100	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_33	205	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_34	75	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_35	303	148	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	148	126	0.392	3.52e-32	KX855962_p47	148	172.514191	3.8966379098339877e-50	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_36	323	412	exonuclease VIII	DNA, RNA and nucleotide metabolism	412	48	0.2	1.166e-06	p123465 VI_04287	412	84.643753	1.6419692071736268e-23	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_37	234	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_38	84	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_39	68	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_40	257	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_41	113	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_42	380	1	integrase	integration and excision	1	62	0.196	9.105e-11	p428256 VI_04636	1	117.394348	2.2165472192275177e-33	#fea328	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_43	273	1	integrase	integration and excision	1	57	0.201	3.584e-09	p428256 VI_04636	1	106.34977	4.8930344499881384e-30	#fea328	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_44	419	164	ParA-like partition protein	DNA, RNA and nucleotide metabolism	164	70	0.259	4.346e-14	p190960 VI_07687	164	90.508278	2.4732660244937806e-25	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_45	86	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_46	170	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_47	61	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_48	577	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_49	53	26257	hypothetical protein	unknown function	26257	126	1.0	2.446e-36	p26182 VI_01015	26257	120.542313	3.7844460390092215e-35	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_50	55	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_51	298	17696	hypothetical protein	unknown function	17696	312	0.795	4.234e-98	MH001450_p85	17696	254.904037	8.307007595598808e-76	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_52	94	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_53	80	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_54	189	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_55	88	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_56	556	864	DNA primase	DNA, RNA and nucleotide metabolism	864	212	0.32	1.512e-58	NC_025465_p48	864	422.559875	9.9423818767594e-126	#ffdf59	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_57	61	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_58	79	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_59	129	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_60	136	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_61	263	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_62	85	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_63	499	64	portal protein	head and packaging	64	105	0.225	5.7339999999999996e-24	MG765278_p17	64	171.985397	3.5169956211114276e-50	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_64	545	979	terminase large subunit	head and packaging	979	96	0.256	3.0580000000000002e-21	p254229 VI_04346	979	248.737	2.6229852434474764e-73	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_200_65	208	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
