"uhgv_genome","uhgv_votu","genome_length","is_jumbo_phage","gc_percent","cds_count","cds_density","avg_cds_length","cds_strand_switch_rate","genetic_code","is_recoded","trna_count_total","trna_count_suppressor","checkv_quality","checkv_completeness","checkv_completeness_method","checkv_trimmed","viral_confidence","genomad_virus_score","genomad_virus_hallmarks","genomad_plasmid_hallmarks","viralverify_prediction","viralverify_score","checkv_viral_markers","checkv_host_markers","uhgv_taxonomy","ictv_taxonomy","ictv_taxonomy_method","ictv_taxonomy_evidence","realm_name","kingdom_name","phylum_name","class_name","order_name","family_name","subfamily_name","genus_name","taxon_alias","crispr_host_lineage_gtdb_r207","crispr_total_connections","crispr_host_agreement","kmers_host_lineage_gtdb_r207","kmers_total_connections","kmers_host_agreement","host_lineage_gtdb_r207","host_prediction_method","crispr_host_range_genus_entropy","kmers_host_range_genus_entropy","crispr_host_range_red","kmers_host_range_red","bacphlip_temperate_score","bacphlip_virulent_score","has_integrase","lifestyle","lifestyle_evidence","dgr_present","anticrispr_num_genes","abricate_num_genes","http_url","MappedOnlyUHGV"
"UHGV-0213517","vOTU-049043",5953,"No",36.4,8,89.6,666.75,0,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9828,1,0,"Uncertain - viral or bacterial","NULL",2,0,"vFAM-00014;vSUBFAM-00006;vGENUS-00009;vSUBGEN-00005;vOTU-049043","root;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae","geNomad-markers","gene-hits=8; agreement=1","Monodnaviria","Sangervirae","Phixviricota","Malgrandaviricetes","Petitvirales","Microviridae","NULL","NULL","Microviridae","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","102","97.06","NULL","NULL","NULL","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","CRISPR","0.151412","NULL","0.0","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-021/UHGV-0213517",TRUE
"UHGV-1887556","vOTU-076423",57814,"No",51.31,71,94.11,766.31,15.71,11,"No",0,0,"High-quality","90.63","AAI-based","No","Confident",0.9744,12,0,"Virus","29.21",7,3,"vFAM-00066;vSUBFAM-00132;vGENUS-07662;vSUBGEN-06190;vOTU-076423","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=55; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","91","95.6","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","1191","93.12","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","1.27034","1.06296","0.122135","0.063908",0.475,0.525,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-188/UHGV-1887556",FALSE
"UHGV-1488560","vOTU-157733",44273,"No",39.06,69,87.07,558.696,8.82,11,"No",0,0,"Medium-quality","62.24","AAI-based","No","Confident",0.9694,2,0,"Virus","18.63",8,2,"vFAM-00009;vSUBFAM-01014;vGENUS-01760;vOTU-157733","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=39; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","222","98.2","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","1817","98.24","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","0.863444","0.798714","0.08874","0.063908",1,0,"No","temperate","BACPHLIP","Yes",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-148/UHGV-1488560",TRUE
"UHGV-1356347","vOTU-054650",7444,"No",39.11,8,97.49,907.125,0,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9801,7,0,"Virus","105.29",6,0,"vFAM-00125;vSUBFAM-00189;vGENUS-03385;vSUBGEN-06217;vOTU-054650","root;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae","geNomad-markers","gene-hits=7; agreement=1","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","NULL","NULL","Other","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",0.0754122,0.924588,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-135/UHGV-1356347",TRUE
"UHGV-0352503","vOTU-161881",10232,"No",41.73,10,98.16,1004.4,0,11,"No",0,0,"Low-quality","21.58","AAI-based","No","Uncertain",0.9813,1,0,"Virus","7.14",2,0,"vFAM-00006;vOTU-161881","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=8; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus stercoravium","8","100","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus stercoravium","CRISPR","0.0","NULL","NULL","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-035/UHGV-0352503",FALSE
"UHGV-1414967","vOTU-162519",45166,"No",52.08,71,91.13,579.718,5.71,11,"No",0,0,"Medium-quality","50.28","AAI-based","No","Uncertain",0.9541,1,0,"Uncertain - viral or bacterial","-3.32",0,4,"vFAM-00111;vSUBFAM-00351;vGENUS-12343;vOTU-162519","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=46; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis","2","100","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","1370","99.12","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","PHIST","0.0","1.55212","NULL","NULL",0.9875,0.0125,"Yes","temperate","integrase","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-141/UHGV-1414967",FALSE
"UHGV-0120406","vOTU-000113",46534,"No",45.15,51,91.25,832.588,4,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9753,2,0,"Virus","15",4,3,"vFAM-00028;vSUBFAM-00637;vGENUS-01283;vSUBGEN-07562;vOTU-000113","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=28; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","23","100","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","755","76.69","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides","PHIST","0.614503","0.796037","0.059162","0.063908",1,0,"No","temperate","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-012/UHGV-0120406",FALSE
"UHGV-0104227","vOTU-000119",43930,"No",59.23,67,94.1,617.015,6.06,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9819,15,0,"Virus","35.09",17,2,"vFAM-00001;vSUBFAM-00725;vGENUS-03469;vSUBGEN-07566;vOTU-000119","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MG711462; proteomic-score=0.151; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","315","95.56","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","150","82.67","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","CRISPR","1.72345","2.03271","0.25452","0.149128",0.175,0.825,"No","lytic","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-010/UHGV-0104227",FALSE
"UHGV-1431732","vOTU-083795",72153,"No",45.49,127,89.01,505.701,2.38,11,"No",0,0,"High-quality","99.9","AAI-based","No","Confident",0.9737,3,0,"Virus","9.41",9,2,"vFAM-00111;vSUBFAM-00351;vGENUS-08412;vSUBGEN-08264;vOTU-083795","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=98; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","139","99.28","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","1270","99.29","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","PHIST","1.01501","1.51993","0.0","0.122135",0.9625,0.0375,"No","temperate","BACPHLIP","No",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-143/UHGV-1431732",FALSE
"UHGV-0193470","vOTU-047244",6270,"No",39.36,5,88.13,1105.2,0,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9816,1,0,"Virus","13.34",3,0,"vFAM-00013;vSUBFAM-00017;vGENUS-00023;vSUBGEN-00011;vOTU-047244","root;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae","geNomad-markers","gene-hits=5; agreement=1","Monodnaviria","Sangervirae","Phixviricota","Malgrandaviricetes","Petitvirales","Microviridae","NULL","NULL","Microviridae","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","274","95.99","NULL","NULL","NULL","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis","CRISPR","0.13925","NULL","0.0","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-019/UHGV-0193470",TRUE
"UHGV-1700924","vOTU-100875",14566,"No",39.59,17,90.37,774.353,0,11,"No",0,0,"Low-quality","20.51","AAI-based","No","Confident",0.9725,2,0,"Uncertain - viral or bacterial","NULL",0,0,"vFAM-00009;vSUBFAM-01014;vGENUS-01760;vOTU-100875","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Delta-crassviridae","top-genome-hit","accession=OMGY01000082; proteomic-score=0.071; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Crassvirales","Delta-crassviridae","NULL","NULL","Crassvirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","33","93.94","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","1808","98.29","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae","PHIST","1.06146","0.796472","NULL","NULL",0.188122,0.811878,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-170/UHGV-1700924",TRUE
"UHGV-2157332","vOTU-021641",13964,"No",57.84,10,96.91,1353.3,0,11,"No",0,0,"Low-quality","23.48","AAI-based","No","Uncertain",0.8692,0,0,"Uncertain - viral or bacterial","3.02",1,0,"vFAM-00060;vSUBFAM-03434;vOTU-021641","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MF612073; proteomic-score=0.116; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus","1","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","230","98.26","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae","PHIST","0.0","1.1988","NULL","NULL",0.16582,0.83418,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-215/UHGV-2157332",TRUE
"UHGV-1939445","vOTU-171309",10817,"No",43.55,26,76.07,316.5,36,11,"No",0,0,"Low-quality","29.87","AAI-based","No","Uncertain",0.9373,1,0,"Virus","11.62",3,0,"vFAM-00060;vSUBFAM-03321;vGENUS-16773;vOTU-171309","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=5; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","9","77.78","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","PHIST","NULL","1.42706","NULL","NULL",1,0,"No","temperate","BACPHLIP","No",1,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-193/UHGV-1939445",FALSE
"UHGV-1993377","vOTU-145291",11631,"No",43.13,6,97.06,1881.5,0,11,"No",0,0,"Low-quality","15.29","AAI-based","No","Uncertain",0.9563,0,0,"Uncertain - viral or bacterial","3.59",0,1,"vFAM-00134;vOTU-145291","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MF612073; proteomic-score=0.155; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae","1","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","929","85.9","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","PHIST","0.0","2.47768","NULL","NULL",0,1,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-199/UHGV-1993377",TRUE
"UHGV-2239335","vOTU-153629",16363,"No",46.54,18,93.85,853.167,11.76,11,"No",0,0,"Low-quality","27.81","AAI-based","No","Uncertain",0.9063,3,0,"Virus","8.89",1,3,"vFAM-00001;vOTU-153629","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=7; agreement=0.5754","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","348","81.03","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","PHIST","NULL","3.02843","NULL","NULL",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-223/UHGV-2239335",TRUE
